Exchange,Type,Volume,TVL,OI,Token,Market Cap,FDV,Pairs,Date,Founder,Property,Backers,Censorship Risk,Collateral,DA Layer,Escape Hatch,Execution Env.,Feature Set,Hard Finality,Last edited time,Leverage,MM Structure,Maker Fees,Margin System,Mobile,New,Proof System,Scaling Tech,Security Model,Settlement Layer,Soft Finality,Speed,Spread,Taker Fees,Tech,Throughput,Users,Warning,cg_deriv_id,cg_id,custom_api_oi,custom_api_tvl,custom_api_volume,defillama id,defillama num id
Vertex Edge,dex,,,,VRTX,"$158,515.00","$300,011.00",111,,Alwin Peng,https://app.vertexprotocol.com?referrer=hansolar,"Arbitrum Foundation, Big Brain Holdings, Dexterity Capital, GSR, HRT Ventures, HTX Vertures, Hack VC, JST Capital, Jane Street Capital, RNR Capital, Wintermute",Centralized Matcher,"ARB, ETH, USDC, USDT, WBTC",Respective Chain,N/A,Off-chain Sequencer,"Spot, Vaults",13 minutes,"August 4, 2025 1:24 PM",20x,,0%,Cross margin,Webapp,,None,Yes,,"Respective Chain(Arbitrum, Sei, Blast, etc)",1500ms,fast,,0.03%,https://blog.vertexprotocol.com/vertex-edge-a-unichain-for-perps/,,,Defunct,,vertex-protocol,,,,,
Jupiter,dex,"$525,946,134.00","$2,444,161,885.89","$465,108,300.00",JUP,"$1,466,938,998.00","$3,357,256,542.00",3,,Meow(Anon),https://jup.ag/,Self-funded,,ANY,,N/A,On-Chain,"SOL Staking, Spot",12500ms,"August 4, 2025 1:24 PM",100x,JLP : 10.89% apr,0.06%,Isolated Margin,Webapp,,,No,,Solana,600ms,mid,,0.06%,Solana,"2,500 txn/sec",,,,jupiter-exchange-solana,https://community.chaoslabs.xyz/jupiter/risk/overview,,,jupiter,4077
dYdX,dex,"$225,287,092.00","$305,081,765.53","$170,747,684.37",dYdX,"$432,532,691.00","$547,031,593.00",232,,Antonio Juliano,https://dydx.trade/?ref=BriefLaw2AT,"1confirmation, A16Z, Bain Capital Crypto, CMS Holdings, Defiance Capital, Delphi Ventures, Dragonfly Capital, Electric Capital, Hashkey Capital, Paradigm, Polychain Capital, QCP Capital, Wintermute",Validator Collusion,USDC,Self,No (L1 Native),Off-chain (Validators),MM Vault,1000ms,"August 4, 2025 1:24 PM",20x,MegaVaults : 15%,0.02%,"Cross margin, Isolated Margin",Native,,N/A,Yes,Decentralized Appchain,Self,1000ms,fast,,0.05%,Cosmos-based L1 Appchain,"2,000 orders/sec",,,dYdX Chain,dydx-chain,,,,dydx,4067
GMX,dex,"$163,504,034.00","$626,992,421.18","$302,121,943.00",GMX,"$140,013,741.00","$140,013,741.00",67,,X(Anon),https://app.gmx.io/#/trade/?ref=hansolar,ICO,,"ETH, LINK, UNI, USDC, WBTC",,N/A,On-Chain,"MM Vault, Spot",13 minutes,"August 4, 2025 1:24 PM",100x,GLV(ETH-USDC & BTC-USDC),0.04%,Isolated Margin,Webapp,,,No,,Arbitrum,1500ms,mid,,0.06%,"Arbitrum(Main), Solana",20 txn/sec,,,,gmx,"https://www.gmx.io ",,,gmx,3365
Drift,dex,"$302,515,288.00","$1,058,158,086.54","$391,474,934.97",DRIFT,"$183,315,380.00","$527,607,457.00",71,,Cindy Leow,https://app.drift.trade/ref/hansolar,"Alameda Research, Blockchain Capital, Folius Ventures, Jump Capital, Multicoin Capital, Not3Lau Capital, Polychain Capital, Primitive Ventures, QCP Capital, ROK Capital', Raj GOkal, Robot Ventures",,"ANY, USDC",,N/A,On-Chain,"SOL Staking, Spot",12500ms,"August 4, 2025 1:24 PM",50x,BAL,-0.01%,Cross margin,Webapp,,,No,,Solana,600ms,mid,,0.025%,Solana,"2,500 txn/sec",,,Drift Protocol,drift-protocol,,,,drift,970
Vest Exchange,dex,"$5,536,116.00","$2,002,736.53",,,,,38,,Justin,https://trade.vest.exchange/trade/ETH-PERP?ref=HSOLR,"Amber, Big Brain Holdings, Jane Street Capital, QCP Capital, Selini, Thanefield Capital",,USDC,,,On-Chain,,13 minutes,"August 4, 2025 1:24 PM",50x,VLP : 25% apr | 3rd party MMs with onchain contracts,0.01%,Cross margin,,🔥,,No,,Base,1500ms,,,0.01%,Base,13 txn/sec,,,,,,,,vest-exchange,4400
Hibachi,dex,"$7,184,003.00","$1,200,000.00","$1,259,346.02",,,,17,,Varun Kumar,https://hibachi.xyz/r/hansolar,"Dragonfly Capital, Electric Capital",Centralized Matcher,USDC,Celestia(Encrypted),Yes (ZK-Proven Exit),Centralized Matcher,,13 minutes,"August 4, 2025 1:24 PM",,,0.045%,Portfolio margin,Webapp,🔥,ZK proof(Succinct SP1),Yes,ZK-Rollup + Privacy,Arbitrum/Base,5ms,fast,,0.045%,ZK Arbitrum/Base Appchain + Privacy,High,,,,,,,,,
Ethereal(Not live),dex,,,,,,,,,,https://deposit.ethereal.trade/points?ref=96QUF6,,,,,,,,,"August 4, 2025 1:24 PM",,,,,,🔥,,No,,,,,,,,,,,,,,,,,
Gains Network,dex,"$128,307,355.00","$57,571,078.70",,GNS,"$53,528,489.00","$53,528,489.00",270,,Seb(Anon),http://gains.trade/,ICO,,"DAI, ETH, GNS, USDC",,N/A,On-Chain,FX,13 minutes,"August 4, 2025 1:24 PM",200x,,0.06%,Isolated Margin,,,,No,,Arbitrum,1500ms,mid,,0.06%,"Arbitrum(Main), Base, Solana",20 txn/sec,,,,gains-network,https://gains-network.gitbook.io/docs-home/developer/integrators/backend#trading-variables,,,gains-network,1018
Woofi Pro,dex,,,,WOO,"$139,347,459.00","$161,266,135.00",120,,Jack Tan,https://pro.woofi.com/,"Amber Group, Caladan, Crypto.com Capital, Fenbushi Capital, Gate.io, MEXC, Presto Labs, Pulsar Global, QCP Capital, Selini Capital, Susquehanna International Group, Three Arrows Capital, Time Research, Wintermute, YZi Labs",,USDC,,,,,,"August 4, 2025 1:24 PM",50x,,0.03%,Cross margin,,,,No,,,,fast,,0.06%,Orderly Network,,,,,woo-network,,,https://orderly.network/docs/build-on-omnichain/evm-api/restful-api/private/get-user-daily-volume?playground=open#get-user-daily-volume,,
GRVT,dex,"$44,236,569.00","$8,320,378.90","$6,653,933.96",,,,27,,Hong Gyu Yea,https://grvt.io/exchange/sign-up?ref=LPNSUM6,"ABCDE Capital, Ampersan, Antelope, AppWorks, CMS Holdings, Delphi Ventures, Folius Ventures, GSG(Great South Gate), Hack VC, Matrix Partners, Matter Labs, Moonvault Partners, Pulsar Trading, QCP Capital, Selini, Susquehanna International Group, XYZ-Ventures",Centralized Matcher,USDT,Starknet → Ethereum,,,,,"August 4, 2025 1:24 PM",50x,,0.027%,Cross margin,Native,🔥,,Yes,,,,fast,,0.055%,StarkEx ETH Appchain + Centralized Matching,High,,,GRVT,,,,,grvt,5599
